Category	Subcategory	Subsystem	Role	Features
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	YjeE	TsaB protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA	fig|6666666.707976.peg.1786
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	YjeE	NAD(P)HX epimerase	fig|6666666.707976.peg.1384
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	YjeE	TsaE protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA	fig|6666666.707976.peg.1385
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	YjeE	NAD(P)HX dehydratase	fig|6666666.707976.peg.1384
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Recycling of Peptidoglycan Amino Sugars	Beta N-acetyl-glucosaminidase (EC 3.2.1.52)	fig|6666666.707976.peg.3316
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Recycling of Peptidoglycan Amino Sugars	Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.-)	fig|6666666.707976.peg.4839
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Recycling of Peptidoglycan Amino Acids	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase (EC 6.3.2.-)	fig|6666666.707976.peg.4726
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Recycling of Peptidoglycan Amino Acids	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)	fig|6666666.707976.peg.1386, fig|6666666.707976.peg.4141, fig|6666666.707976.peg.4249
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Recycling of Peptidoglycan Amino Acids	N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28) AmpD	fig|6666666.707976.peg.5104
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Recycling of Peptidoglycan Amino Acids	AmpG permease	fig|6666666.707976.peg.1901
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Recycling of Peptidoglycan Amino Acids	Muramoyltetrapeptide carboxypeptidase (EC 3.4.17.13)	fig|6666666.707976.peg.4702
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan biosynthesis--gjo	UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate ligase (EC 6.3.2.-)	fig|6666666.707976.peg.4726
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan biosynthesis--gjo	UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8)	fig|6666666.707976.peg.1462
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan biosynthesis--gjo	UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9)	fig|6666666.707976.peg.1459
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan biosynthesis--gjo	UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)	fig|6666666.707976.peg.1456
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan biosynthesis--gjo	D-alanine--D-alanine ligase (EC 6.3.2.4)	fig|6666666.707976.peg.1463
Cell Wall and Capsule	Cell Wall and Capsule - no subcategory	Peptidoglycan biosynthesis--gjo	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase (EC 6.3.2.10)	fig|6666666.707976.peg.1457
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Tolerance to colicin E2	Conserved uncharacterized protein CreA	fig|6666666.707976.peg.3088
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Tolerance to colicin E2	Two-component response regulator CreC	fig|6666666.707976.peg.4936
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Tolerance to colicin E2	Inner membrane protein CreD	fig|6666666.707976.peg.4934
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Tolerance to colicin E2	Two-component response regulator CreB	fig|6666666.707976.peg.4937
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Colicin V and Bacteriocin Production Cluster	Folylpolyglutamate synthase (EC 6.3.2.17)	fig|6666666.707976.peg.79
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Colicin V and Bacteriocin Production Cluster	Amidophosphoribosyltransferase (EC 2.4.2.14)	fig|6666666.707976.peg.82
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Colicin V and Bacteriocin Production Cluster	Colicin V production protein	fig|6666666.707976.peg.81
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Colicin V and Bacteriocin Production Cluster	Dihydrofolate synthase (EC 6.3.2.12)	fig|6666666.707976.peg.79
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Colicin V and Bacteriocin Production Cluster	Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	fig|6666666.707976.peg.78
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Colicin V and Bacteriocin Production Cluster	DedA protein	fig|6666666.707976.peg.4716, fig|6666666.707976.peg.4734
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Colicin V and Bacteriocin Production Cluster	DedD protein	fig|6666666.707976.peg.80
Virulence, Disease and Defense	Bacteriocins, ribosomally synthesized antibacterial peptides	Colicin V and Bacteriocin Production Cluster	tRNA pseudouridine synthase A (EC 4.2.1.70)	fig|6666666.707976.peg.76, fig|6666666.707976.peg.1891
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	Multicopper oxidase	fig|6666666.707976.peg.40, fig|6666666.707976.peg.745
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	Cytochrome c heme lyase subunit CcmH	fig|6666666.707976.peg.928, fig|6666666.707976.peg.929
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	Multidrug resistance transporter, Bcr/CflA family	fig|6666666.707976.peg.417, fig|6666666.707976.peg.5407
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	Cu(I)-responsive transcriptional regulator	fig|6666666.707976.peg.421
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	Copper resistance protein D	fig|6666666.707976.peg.37
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	CopG protein	fig|6666666.707976.peg.2239
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	Copper resistance protein C precursor	fig|6666666.707976.peg.38
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	Cytochrome c heme lyase subunit CcmF	fig|6666666.707976.peg.932
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	Copper-sensing two-component system response regulator CusR	fig|6666666.707976.peg.17
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	Copper chaperone	fig|6666666.707976.peg.418
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	Copper-translocating P-type ATPase (EC 3.6.3.4)	fig|6666666.707976.peg.34, fig|6666666.707976.peg.420, fig|6666666.707976.peg.3276, fig|6666666.707976.peg.5394
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	Copper resistance protein B	fig|6666666.707976.peg.39
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis	Copper tolerance protein	fig|6666666.707976.peg.18
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Heavy metal RND efflux outer membrane protein, CzcC family	fig|6666666.707976.peg.2217, fig|6666666.707976.peg.3421
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	DNA-binding heavy metal response regulator	fig|6666666.707976.peg.3420, fig|6666666.707976.peg.4460
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Cobalt-zinc-cadmium resistance protein CzcD	fig|6666666.707976.peg.563
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Cobalt/zinc/cadmium efflux RND transporter, membrane fusion protein, CzcB family	fig|6666666.707976.peg.3422
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Cd(II)/Pb(II)-responsive transcriptional regulator	fig|6666666.707976.peg.5393
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Cation efflux system protein CusA	fig|6666666.707976.peg.1469, fig|6666666.707976.peg.3423
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Cobalt-zinc-cadmium resistance protein	fig|6666666.707976.peg.2835
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Copper-sensing two-component system response regulator CusR	fig|6666666.707976.peg.17
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Heavy metal sensor histidine kinase	fig|6666666.707976.peg.3419
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Probable cadmium-transporting ATPase (EC 3.6.3.3)	fig|6666666.707976.peg.4152
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Cobalt-zinc-cadmium resistance protein CzcA	fig|6666666.707976.peg.1469, fig|6666666.707976.peg.3423
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Probable Co/Zn/Cd efflux system membrane fusion protein	fig|6666666.707976.peg.53, fig|6666666.707976.peg.1470, fig|6666666.707976.peg.2124, fig|6666666.707976.peg.5037
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Cobalt-zinc-cadmium resistance	Transcriptional regulator, MerR family	fig|6666666.707976.peg.119, fig|6666666.707976.peg.1136, fig|6666666.707976.peg.3187, fig|6666666.707976.peg.3539
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Adaptation to d-cysteine	Cystine ABC transporter, permease protein	fig|6666666.707976.peg.4433
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Adaptation to d-cysteine	Cystine ABC transporter, ATP-binding protein	fig|6666666.707976.peg.4434
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Adaptation to d-cysteine	D-cysteine desulfhydrase (EC 4.4.1.15)	fig|6666666.707976.peg.4431
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug Resistance, Tripartite Systems Found in Gram Negative Bacteria	Outer membrane component of tripartite multidrug resistance system	fig|6666666.707976.peg.51, fig|6666666.707976.peg.1100, fig|6666666.707976.peg.3403, fig|6666666.707976.peg.4417, fig|6666666.707976.peg.5039
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug Resistance, Tripartite Systems Found in Gram Negative Bacteria	Membrane fusion component of tripartite multidrug resistance system	fig|6666666.707976.peg.1097, fig|6666666.707976.peg.2409, fig|6666666.707976.peg.3404, fig|6666666.707976.peg.3743, fig|6666666.707976.peg.3815, fig|6666666.707976.peg.4416
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug Resistance, Tripartite Systems Found in Gram Negative Bacteria	Inner membrane component of tripartite multidrug resistance system	fig|6666666.707976.peg.1099, fig|6666666.707976.peg.3405, fig|6666666.707976.peg.3814, fig|6666666.707976.peg.4415
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Streptothricin resistance	Streptothricin acetyltransferase, Streptomyces lavendulae type	fig|6666666.707976.peg.2157
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Resistance to fluoroquinolones	DNA gyrase subunit B (EC 5.99.1.3)	fig|6666666.707976.peg.4205
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Resistance to fluoroquinolones	DNA gyrase subunit A (EC 5.99.1.3)	fig|6666666.707976.peg.5171
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Resistance to fluoroquinolones	Topoisomerase IV subunit B (EC 5.99.1.-)	fig|6666666.707976.peg.5747
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Resistance to fluoroquinolones	Topoisomerase IV subunit A (EC 5.99.1.-)	fig|6666666.707976.peg.5744
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis: copper tolerance	Copper homeostasis protein CutE	fig|6666666.707976.peg.2817
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Copper homeostasis: copper tolerance	Magnesium and cobalt efflux protein CorC	fig|6666666.707976.peg.372, fig|6666666.707976.peg.2818
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Fosfomycin resistance	Fosfomycin resistance protein FosA	fig|6666666.707976.peg.4694
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Beta-lactamase	Beta-lactamase class C and other penicillin binding proteins	fig|6666666.707976.peg.1991
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Beta-lactamase	Beta-lactamase (EC 3.5.2.6)	fig|6666666.707976.peg.12
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Beta-lactamase	Metal-dependent hydrolases of the beta-lactamase superfamily I	fig|6666666.707976.peg.4633
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Resistance to chromium compounds	Chromate transport protein ChrA	fig|6666666.707976.peg.655
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug Resistance Efflux Pumps	RND efflux system, outer membrane lipoprotein, NodT family	fig|6666666.707976.peg.875, fig|6666666.707976.peg.1979
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug Resistance Efflux Pumps	RND efflux system, membrane fusion protein CmeA	fig|6666666.707976.peg.2350
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug Resistance Efflux Pumps	Multi antimicrobial extrusion protein (Na(+)/drug antiporter), MATE family of MDR efflux pumps	fig|6666666.707976.peg.3296
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug Resistance Efflux Pumps	Transcription repressor of multidrug efflux pump acrAB operon, TetR (AcrR) family	fig|6666666.707976.peg.1982
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug Resistance Efflux Pumps	Multidrug efflux RND membrane fusion protein MexC	fig|6666666.707976.peg.1981
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug Resistance Efflux Pumps	RND efflux system, inner membrane transporter CmeB	fig|6666666.707976.peg.1980, fig|6666666.707976.peg.2349
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug Resistance Efflux Pumps	Multidrug and toxin extrusion (MATE) family efflux pump YdhE/NorM, homolog	fig|6666666.707976.peg.5257
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug Resistance Efflux Pumps	Acriflavin resistance protein	fig|6666666.707976.peg.1, fig|6666666.707976.peg.877, fig|6666666.707976.peg.2125, fig|6666666.707976.peg.5038
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	Multidrug Resistance Efflux Pumps	Type I secretion outer membrane protein, TolC precursor	fig|6666666.707976.peg.2912, fig|6666666.707976.peg.5755
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	MexE-MexF-OprN Multidrug Efflux System	Outer membrane protein OprN	fig|6666666.707976.peg.5499
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	MexE-MexF-OprN Multidrug Efflux System	Multidrug efflux transporter MexF	fig|6666666.707976.peg.5500
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	MexE-MexF-OprN Multidrug Efflux System	Multidrug efflux membrane fusion protein MexE	fig|6666666.707976.peg.5501
Virulence, Disease and Defense	Resistance to antibiotics and toxic compounds	MexE-MexF-OprN Multidrug Efflux System	Transcriptional regulator MexT	fig|6666666.707976.peg.5516
Virulence, Disease and Defense	Invasion and intracellular resistance	Mycobacterium virulence operon involved in protein synthesis (SSU ribosomal proteins)	SSU ribosomal protein S7p (S5e)	fig|6666666.707976.peg.4823
Virulence, Disease and Defense	Invasion and intracellular resistance	Mycobacterium virulence operon involved in protein synthesis (SSU ribosomal proteins)	Translation elongation factor G	fig|6666666.707976.peg.4822
Virulence, Disease and Defense	Invasion and intracellular resistance	Mycobacterium virulence operon involved in protein synthesis (SSU ribosomal proteins)	Translation elongation factor Tu	fig|6666666.707976.peg.722, fig|6666666.707976.peg.4821, fig|6666666.707976.peg.4833
Virulence, Disease and Defense	Invasion and intracellular resistance	Mycobacterium virulence operon involved in protein synthesis (SSU ribosomal proteins)	SSU ribosomal protein S12p (S23e)	fig|6666666.707976.peg.4824
Virulence, Disease and Defense	Invasion and intracellular resistance	Mycobacterium virulence operon involved in DNA transcription	DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)	fig|6666666.707976.peg.4825
Virulence, Disease and Defense	Invasion and intracellular resistance	Mycobacterium virulence operon involved in DNA transcription	DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)	fig|6666666.707976.peg.4826
Virulence, Disease and Defense	Invasion and intracellular resistance	Mycobacterium virulence operon possibly involved in quinolinate biosynthesis	Quinolinate synthetase (EC 2.5.1.72)	fig|6666666.707976.peg.2031
Virulence, Disease and Defense	Invasion and intracellular resistance	Mycobacterium virulence operon possibly involved in quinolinate biosynthesis	Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)	fig|6666666.707976.peg.5102
Virulence, Disease and Defense	Invasion and intracellular resistance	Mycobacterium virulence operon possibly involved in quinolinate biosynthesis	L-aspartate oxidase (EC 1.4.3.16)	fig|6666666.707976.peg.4645
Virulence, Disease and Defense	Invasion and intracellular resistance	Mycobacterium virulence operon involved in protein synthesis (LSU ribosomal proteins)	LSU ribosomal protein L35p	fig|6666666.707976.peg.114
Virulence, Disease and Defense	Invasion and intracellular resistance	Mycobacterium virulence operon involved in protein synthesis (LSU ribosomal proteins)	Translation initiation factor 3	fig|6666666.707976.peg.113
Virulence, Disease and Defense	Invasion and intracellular resistance	Mycobacterium virulence operon involved in protein synthesis (LSU ribosomal proteins)	LSU ribosomal protein L20p	fig|6666666.707976.peg.115
Potassium metabolism	Potassium metabolism - no subcategory	Potassium homeostasis	Potassium-transporting ATPase A chain (EC 3.6.3.12) (TC 3.A.3.7.1)	fig|6666666.707976.peg.5130
Potassium metabolism	Potassium metabolism - no subcategory	Potassium homeostasis	FKBP-type peptidyl-prolyl cis-trans isomerase SlyD (EC 5.2.1.8)	fig|6666666.707976.peg.1150
Potassium metabolism	Potassium metabolism - no subcategory	Potassium homeostasis	putative Glutathione-regulated potassium-efflux system protein KefB	fig|6666666.707976.peg.4131
Potassium metabolism	Potassium metabolism - no subcategory	Potassium homeostasis	Trk system potassium uptake protein TrkA	fig|6666666.707976.peg.4216, fig|6666666.707976.peg.4216
Potassium metabolism	Potassium metabolism - no subcategory	Potassium homeostasis	Potassium uptake protein TrkH	fig|6666666.707976.peg.1031, fig|6666666.707976.peg.1031
Potassium metabolism	Potassium metabolism - no subcategory	Potassium homeostasis	Potassium channel protein	fig|6666666.707976.peg.1723, fig|6666666.707976.peg.2598
Potassium metabolism	Potassium metabolism - no subcategory	Potassium homeostasis	Potassium-transporting ATPase C chain (EC 3.6.3.12) (TC 3.A.3.7.1)	fig|6666666.707976.peg.5128
Potassium metabolism	Potassium metabolism - no subcategory	Potassium homeostasis	Osmosensitive K+ channel histidine kinase KdpD (EC 2.7.3.-)	fig|6666666.707976.peg.16, fig|6666666.707976.peg.1704, fig|6666666.707976.peg.4502, fig|6666666.707976.peg.5127
Potassium metabolism	Potassium metabolism - no subcategory	Potassium homeostasis	Potassium voltage-gated channel subfamily KQT	fig|6666666.707976.peg.921
Potassium metabolism	Potassium metabolism - no subcategory	Potassium homeostasis	Potassium-transporting ATPase B chain (EC 3.6.3.12) (TC 3.A.3.7.1)	fig|6666666.707976.peg.5129
Potassium metabolism	Potassium metabolism - no subcategory	Potassium homeostasis	Potassium efflux system KefA protein	fig|6666666.707976.peg.2461, fig|6666666.707976.peg.5802
Potassium metabolism	Potassium metabolism - no subcategory	Potassium homeostasis	Glutathione-regulated potassium-efflux system ATP-binding protein	fig|6666666.707976.peg.3069, fig|6666666.707976.peg.5298
Potassium metabolism	Potassium metabolism - no subcategory	Potassium homeostasis	Large-conductance mechanosensitive channel	fig|6666666.707976.peg.2874
Potassium metabolism	Potassium metabolism - no subcategory	Potassium homeostasis	FKBP-type peptidyl-prolyl cis-trans isomerase FkpA precursor (EC 5.2.1.8)	fig|6666666.707976.peg.3914
Potassium metabolism	Potassium metabolism - no subcategory	Potassium homeostasis	Kup system potassium uptake protein	fig|6666666.707976.peg.652, fig|6666666.707976.peg.1895
Potassium metabolism	Potassium metabolism - no subcategory	Hyperosmotic potassium uptake	Trk system potassium uptake protein TrkA	fig|6666666.707976.peg.4216
Potassium metabolism	Potassium metabolism - no subcategory	Hyperosmotic potassium uptake	Potassium uptake protein TrkH	fig|6666666.707976.peg.1031
Potassium metabolism	Potassium metabolism - no subcategory	Glutathione-regulated potassium-efflux system and associated functions	Glutathione-regulated potassium-efflux system ATP-binding protein	fig|6666666.707976.peg.3069, fig|6666666.707976.peg.5298
Potassium metabolism	Potassium metabolism - no subcategory	Glutathione-regulated potassium-efflux system and associated functions	Glutathione-regulated potassium-efflux system protein KefB	fig|6666666.707976.peg.572, fig|6666666.707976.peg.1292
Miscellaneous	Plant-Prokaryote DOE project	YrdC-YciO-Sua5 protein family	Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 and RF2	fig|6666666.707976.peg.2711
Miscellaneous	Plant-Prokaryote DOE project	YrdC-YciO-Sua5 protein family	Hypothetical YciO protein, TsaC/YrdC paralog	fig|6666666.707976.peg.1022
Miscellaneous	Plant-Prokaryote DOE project	YrdC-YciO-Sua5 protein family	TsaB protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA	fig|6666666.707976.peg.1786
Miscellaneous	Plant-Prokaryote DOE project	YrdC-YciO-Sua5 protein family	Protein-N(5)-glutamine methyltransferase PrmB, methylates LSU ribosomal protein L3p	fig|6666666.707976.peg.2434
Miscellaneous	Plant-Prokaryote DOE project	YrdC-YciO-Sua5 protein family	Serine hydroxymethyltransferase (EC 2.1.2.1)	fig|6666666.707976.peg.3067, fig|6666666.707976.peg.3068, fig|6666666.707976.peg.4948, fig|6666666.707976.peg.5265
Miscellaneous	Plant-Prokaryote DOE project	YrdC-YciO-Sua5 protein family	Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake	fig|6666666.707976.peg.4221
Miscellaneous	Plant-Prokaryote DOE project	YrdC-YciO-Sua5 protein family	Peptide chain release factor 1	fig|6666666.707976.peg.2710
Miscellaneous	Plant-Prokaryote DOE project	YrdC-YciO-Sua5 protein family	TsaD/Kae1/Qri7 protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA	fig|6666666.707976.peg.4885
Miscellaneous	Plant-Prokaryote DOE project	YrdC-YciO-Sua5 protein family	Ribosomal-protein-S18p-alanine acetyltransferase (EC 2.3.1.-)	fig|6666666.707976.peg.2681
Miscellaneous	Plant-Prokaryote DOE project	YrdC-YciO-Sua5 protein family	COG0613, Predicted metal-dependent phosphoesterases (PHP family)	fig|6666666.707976.peg.1023
Miscellaneous	Plant-Prokaryote DOE project	YrdC-YciO-Sua5 protein family	TsaE protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA	fig|6666666.707976.peg.1385
Miscellaneous	Plant-Prokaryote DOE project	Scaffold proteins for [4Fe-4S] cluster assembly (MRP family)	Methionyl-tRNA synthetase (EC 6.1.1.10)	fig|6666666.707976.peg.3801
Miscellaneous	Plant-Prokaryote DOE project	Scaffold proteins for [4Fe-4S] cluster assembly (MRP family)	S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 5.-.-.-)	fig|6666666.707976.peg.1737
Miscellaneous	Plant-Prokaryote DOE project	Scaffold proteins for [4Fe-4S] cluster assembly (MRP family)	HflK protein	fig|6666666.707976.peg.1391, fig|6666666.707976.peg.4153
Miscellaneous	Plant-Prokaryote DOE project	Scaffold proteins for [4Fe-4S] cluster assembly (MRP family)	Glutathione S-transferase family protein	fig|6666666.707976.peg.2182, fig|6666666.707976.peg.4933
Miscellaneous	Plant-Prokaryote DOE project	Scaffold proteins for [4Fe-4S] cluster assembly (MRP family)	Epoxyqueuosine (oQ) reductase QueG	fig|6666666.707976.peg.1383
Miscellaneous	Plant-Prokaryote DOE project	Scaffold proteins for [4Fe-4S] cluster assembly (MRP family)	Scaffold protein for [4Fe-4S] cluster assembly ApbC, MRP-like	fig|6666666.707976.peg.3803
Miscellaneous	Plant-Prokaryote DOE project	Scaffold proteins for [4Fe-4S] cluster assembly (MRP family)	HflC protein	fig|6666666.707976.peg.1392, fig|6666666.707976.peg.4154
Miscellaneous	Plant-Prokaryote DOE project	Scaffold proteins for [4Fe-4S] cluster assembly (MRP family)	tRNA-guanine transglycosylase (EC 2.4.2.29)	fig|6666666.707976.peg.1738
Miscellaneous	Plant-Prokaryote DOE project	Scaffold proteins for [4Fe-4S] cluster assembly (MRP family)	TsaE protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA	fig|6666666.707976.peg.1385
Miscellaneous	Plant-Prokaryote DOE project	Scaffold proteins for [4Fe-4S] cluster assembly (MRP family)	HtrA protease/chaperone protein	fig|6666666.707976.peg.4641
Miscellaneous	Plant-Prokaryote DOE project	Niacin-Choline transport and metabolism	Sarcosine oxidase gamma subunit (EC 1.5.3.1)	fig|6666666.707976.peg.4944
Miscellaneous	Plant-Prokaryote DOE project	Niacin-Choline transport and metabolism	Sarcosine oxidase alpha subunit (EC 1.5.3.1)	fig|6666666.707976.peg.4945
Miscellaneous	Plant-Prokaryote DOE project	Niacin-Choline transport and metabolism	Sarcosine oxidase beta subunit (EC 1.5.3.1)	fig|6666666.707976.peg.1482, fig|6666666.707976.peg.3372, fig|6666666.707976.peg.4947
Miscellaneous	Plant-Prokaryote DOE project	Niacin-Choline transport and metabolism	High-affinity choline uptake protein BetT	fig|6666666.707976.peg.4428, fig|6666666.707976.peg.4983
Miscellaneous	Plant-Prokaryote DOE project	Niacin-Choline transport and metabolism	Niacin transporter NiaP	fig|6666666.707976.peg.411
Miscellaneous	Plant-Prokaryote DOE project	Niacin-Choline transport and metabolism	Betaine aldehyde dehydrogenase (EC 1.2.1.8)	fig|6666666.707976.peg.4985
Miscellaneous	Plant-Prokaryote DOE project	Niacin-Choline transport and metabolism	GbcA Glycine betaine demethylase subunit A	fig|6666666.707976.peg.4955
Miscellaneous	Plant-Prokaryote DOE project	Niacin-Choline transport and metabolism	Sarcosine oxidase delta subunit (EC 1.5.3.1)	fig|6666666.707976.peg.4946
Miscellaneous	Plant-Prokaryote DOE project	Niacin-Choline transport and metabolism	Choline dehydrogenase (EC 1.1.99.1)	fig|6666666.707976.peg.583, fig|6666666.707976.peg.4986
Miscellaneous	Plant-Prokaryote DOE project	Niacin-Choline transport and metabolism	DgcA Dimethylglycine demethylase subunit A	fig|6666666.707976.peg.4963
Miscellaneous	Plant-Prokaryote DOE project	Niacin-Choline transport and metabolism	GbcB Glycine betaine demethylase subunit B	fig|6666666.707976.peg.4954
Miscellaneous	Plant-Prokaryote DOE project	Niacin-Choline transport and metabolism	Nicotinamidase (EC 3.5.1.19)	fig|6666666.707976.peg.2353
Miscellaneous	Plant-Prokaryote DOE project	Single-Rhodanese-domain proteins	Thiosulfate sulfurtransferase GlpE (EC 2.8.1.1)	fig|6666666.707976.peg.4876
